특성별(1),특성별(2),특성별(3),특성별(4),방문고객및배달테이크아웃수별(1),방문고객및배달테이크아웃수별(2),시점,원데이터,전년 대비 증감,증감률
전체,소계,소계,소계,방문 고객수,20명 미만 (%),2021,29,2,7.4
전체,소계,소계,소계,방문 고객수,20~30명 미만 (%),2021,14.7,-0.2,-1.3
전체,소계,소계,소계,방문 고객수,30~50명 미만 (%),2021,26.9,3.5,15
전체,소계,소계,소계,방문 고객수,50~100명 미만 (%),2021,21,-3.5,-14.3
전체,소계,소계,소계,방문 고객수,100명 이상 (%),2021,8.4,-1.9,-18.4
전체,소계,소계,소계,방문 고객수,평균 (명),2021,41.8,-5.9,-12.4
전체,소계,소계,소계,배달 수,없음 (%),2021,63.6,-10.2,-13.8
전체,소계,소계,소계,배달 수,10인분 미만 (%),2021,7.9,2.1,36.2
전체,소계,소계,소계,배달 수,10~20인분 미만 (%),2021,10.4,2.9,38.7
전체,소계,소계,소계,배달 수,20~30인분 미만 (%),2021,7.1,2.8,65.1
전체,소계,소계,소계,배달 수,30~50인분 미만 (%),2021,7,1.6,29.6
전체,소계,소계,소계,배달 수,50인분 이상 (%),2021,4,0.9,29
전체,소계,소계,소계,배달 수,평균 (인분),2021,8.6,2.2,34.4
전체,소계,소계,소계,테이크아웃 수,없음 (%),2021,43.7,-10.3,-19.1
전체,소계,소계,소계,테이크아웃 수,10인분 미만 (%),2021,22.4,5.4,31.8
전체,소계,소계,소계,테이크아웃 수,10~20인분 미만 (%),2021,13.1,3.1,31
전체,소계,소계,소계,테이크아웃 수,20~30인분 미만 (%),2021,8.1,3.3,68.8
전체,소계,소계,소계,테이크아웃 수,30~50인분 미만 (%),2021,6.3,0.4,6.8
전체,소계,소계,소계,테이크아웃 수,50인분 이상 (%),2021,6.4,-1.9,-22.9
전체,소계,소계,소계,테이크아웃 수,평균 (인분),2021,12.2,-0.5,-3.9
업종별,일반음식점,소계,소계,방문 고객수,20명 미만 (%),2021,21.6,2.7,14.3
업종별,일반음식점,소계,소계,방문 고객수,20~30명 미만 (%),2021,14.7,0.5,3.5
업종별,일반음식점,소계,소계,방문 고객수,30~50명 미만 (%),2021,29.6,4,15.6
업종별,일반음식점,소계,소계,방문 고객수,50~100명 미만 (%),2021,26.4,-3.1,-10.5
업종별,일반음식점,소계,소계,방문 고객수,100명 이상 (%),2021,7.8,-3.9,-33.3
업종별,일반음식점,소계,소계,방문 고객수,평균 (명),2021,43.1,-7,-14
업종별,일반음식점,소계,소계,배달 수,없음 (%),2021,65.7,-9.9,-13.1
업종별,일반음식점,소계,소계,배달 수,10인분 미만 (%),2021,9.3,3.9,72.2
업종별,일반음식점,소계,소계,배달 수,10~20인분 미만 (%),2021,8.8,0.4,4.8
업종별,일반음식점,소계,소계,배달 수,20~30인분 미만 (%),2021,6,3,100
업종별,일반음식점,소계,소계,배달 수,30~50인분 미만 (%),2021,6.4,1.9,42.2
업종별,일반음식점,소계,소계,배달 수,50인분 이상 (%),2021,3.8,0.7,22.6
업종별,일반음식점,소계,소계,배달 수,평균 (인분),2021,7.7,1.9,32.8
업종별,일반음식점,소계,소계,테이크아웃 수,없음 (%),2021,50.5,-14.8,-22.7
업종별,일반음식점,소계,소계,테이크아웃 수,10인분 미만 (%),2021,26.2,6.4,32.3
업종별,일반음식점,소계,소계,테이크아웃 수,10~20인분 미만 (%),2021,13.1,3,29.7
업종별,일반음식점,소계,소계,테이크아웃 수,20~30인분 미만 (%),2021,6.8,3.6,112.5
업종별,일반음식점,소계,소계,테이크아웃 수,30~50인분 미만 (%),2021,2.8,1.8,180
업종별,일반음식점,소계,소계,테이크아웃 수,50인분 이상 (%),2021,0.6,0.1,20
업종별,일반음식점,소계,소계,테이크아웃 수,평균 (인분),2021,5.7,2.4,72.7
업종별,일반음식점,한식,소계,방문 고객수,20명 미만 (%),2021,21.3,3.3,18.3
업종별,일반음식점,한식,소계,방문 고객수,20~30명 미만 (%),2021,14.2,0.1,0.7
업종별,일반음식점,한식,소계,방문 고객수,30~50명 미만 (%),2021,30,3.7,14.1
업종별,일반음식점,한식,소계,방문 고객수,50~100명 미만 (%),2021,26.7,-3.9,-12.7
업종별,일반음식점,한식,소계,방문 고객수,100명 이상 (%),2021,7.9,-3.1,-28.2
업종별,일반음식점,한식,소계,방문 고객수,평균 (명),2021,42.9,-6.9,-13.9
업종별,일반음식점,한식,소계,배달 수,없음 (%),2021,71.6,-8.9,-11.1
업종별,일반음식점,한식,소계,배달 수,10인분 미만 (%),2021,8.7,3.9,81.3
업종별,일반음식점,한식,소계,배달 수,10~20인분 미만 (%),2021,8.5,0.7,9
업종별,일반음식점,한식,소계,배달 수,20~30인분 미만 (%),2021,5.1,2.6,104
