특성별(1),특성별(2),특성별(3),특성별(4),시점,신고면적별(1),데이터
전체,소계,소계,소계,2021,30㎡ 미만 (%),9
전체,소계,소계,소계,2021,30㎡ ~ 50㎡ 미만 (%),22
전체,소계,소계,소계,2021,50㎡ ~ 100㎡ 미만 (%),42.2
전체,소계,소계,소계,2021,100㎡ ~ 300㎡ 미만 (%),24.7
전체,소계,소계,소계,2021,300㎡ 이상 (%),2.1
전체,소계,소계,소계,2021,평균 (㎡),91.8
업종별,일반음식점,소계,소계,2021,30㎡ 미만 (%),5.2
업종별,일반음식점,소계,소계,2021,30㎡ ~ 50㎡ 미만 (%),16.4
업종별,일반음식점,소계,소계,2021,50㎡ ~ 100㎡ 미만 (%),44.8
업종별,일반음식점,소계,소계,2021,100㎡ ~ 300㎡ 미만 (%),31.7
업종별,일반음식점,소계,소계,2021,300㎡ 이상 (%),2
업종별,일반음식점,소계,소계,2021,평균 (㎡),102.2
업종별,일반음식점,한식,소계,2021,30㎡ 미만 (%),5.2
업종별,일반음식점,한식,소계,2021,30㎡ ~ 50㎡ 미만 (%),15.7
업종별,일반음식점,한식,소계,2021,50㎡ ~ 100㎡ 미만 (%),44.1
업종별,일반음식점,한식,소계,2021,100㎡ ~ 300㎡ 미만 (%),33.2
업종별,일반음식점,한식,소계,2021,300㎡ 이상 (%),1.8
업종별,일반음식점,한식,소계,2021,평균 (㎡),102.2
업종별,일반음식점,중식,소계,2021,30㎡ 미만 (%),3.7
업종별,일반음식점,중식,소계,2021,30㎡ ~ 50㎡ 미만 (%),15.8
업종별,일반음식점,중식,소계,2021,50㎡ ~ 100㎡ 미만 (%),49.1
업종별,일반음식점,중식,소계,2021,100㎡ ~ 300㎡ 미만 (%),29.1
업종별,일반음식점,중식,소계,2021,300㎡ 이상 (%),2.2
업종별,일반음식점,중식,소계,2021,평균 (㎡),100
업종별,일반음식점,일식,소계,2021,30㎡ 미만 (%),7.2
업종별,일반음식점,일식,소계,2021,30㎡ ~ 50㎡ 미만 (%),25.7
업종별,일반음식점,일식,소계,2021,50㎡ ~ 100㎡ 미만 (%),46.6
업종별,일반음식점,일식,소계,2021,100㎡ ~ 300㎡ 미만 (%),18.4
업종별,일반음식점,일식,소계,2021,300㎡ 이상 (%),2.1
업종별,일반음식점,일식,소계,2021,평균 (㎡),85.2
업종별,일반음식점,서양식,소계,2021,30㎡ 미만 (%),6.7
업종별,일반음식점,서양식,소계,2021,30㎡ ~ 50㎡ 미만 (%),19.2
업종별,일반음식점,서양식,소계,2021,50㎡ ~ 100㎡ 미만 (%),47.8
업종별,일반음식점,서양식,소계,2021,100㎡ ~ 300㎡ 미만 (%),21.2
업종별,일반음식점,서양식,소계,2021,300㎡ 이상 (%),5.1
업종별,일반음식점,서양식,소계,2021,평균 (㎡),127.6
업종별,일반음식점,기타 외국식,소계,2021,30㎡ 미만 (%),2.9
업종별,일반음식점,기타 외국식,소계,2021,30㎡ ~ 50㎡ 미만 (%),26.3
업종별,일반음식점,기타 외국식,소계,2021,50㎡ ~ 100㎡ 미만 (%),50.5
업종별,일반음식점,기타 외국식,소계,2021,100㎡ ~ 300㎡ 미만 (%),15.7
업종별,일반음식점,기타 외국식,소계,2021,300㎡ 이상 (%),4.6
업종별,일반음식점,기타 외국식,소계,2021,평균 (㎡),90.5
업종별,일반음식점 외,소계,소계,2021,30㎡ 미만 (%),13.1
업종별,일반음식점 외,소계,소계,2021,30㎡ ~ 50㎡ 미만 (%),28
업종별,일반음식점 외,소계,소계,2021,50㎡ ~ 100㎡ 미만 (%),39.4
업종별,일반음식점 외,소계,소계,2021,100㎡ ~ 300㎡ 미만 (%),17.2
업종별,일반음식점 외,소계,소계,2021,300㎡ 이상 (%),2.3
업종별,일반음식점 외,소계,소계,2021,평균 (㎡),80.8
업종별,일반음식점 외,기관 구내식당업,소계,2021,30㎡ 미만 (%),2.9
업종별,일반음식점 외,기관 구내식당업,소계,2021,30㎡ ~ 50㎡ 미만 (%),6.8
업종별,일반음식점 외,기관 구내식당업,소계,2021,50㎡ ~ 100㎡ 미만 (%),24.4
업종별,일반음식점 외,기관 구내식당업,소계,2021,100㎡ ~ 300㎡ 미만 (%),46.9
업종별,일반음식점 외,기관 구내식당업,소계,2021,300㎡ 이상 (%),19
업종별,일반음식점 외,기관 구내식당업,소계,2021,평균 (㎡),202
업종별,일반음식점 외,출장·이동음식점업,소계,2021,30㎡ 미만 (%),0
