특성별(1),특성별(2),특성별(3),특성별(4),시점,비프랜차이즈,프랜차이즈
전체,소계,소계,소계,2021,73.7,26.3
업종별,일반음식점,소계,소계,2021,82.7,17.3
업종별,일반음식점,한식,소계,2021,83.7,16.3
업종별,일반음식점,중식,소계,2021,89.1,10.9
업종별,일반음식점,일식,소계,2021,75.6,24.4
업종별,일반음식점,서양식,소계,2021,70.1,29.9
업종별,일반음식점,기타 외국식,소계,2021,45.7,54.3
업종별,일반음식점 외,소계,소계,2021,64,36
업종별,일반음식점 외,기관 구내식당업,소계,2021,59.4,40.6
업종별,일반음식점 외,출장·이동음식점업,소계,2021,100,0
업종별,일반음식점 외,기타 음식점업,제과점,2021,60.3,39.7
업종별,일반음식점 외,기타 음식점업,피자·햄버거·샌드위치 및 유사 음식점업,2021,11,89
업종별,일반음식점 외,기타 음식점업,치킨전문점,2021,17.6,82.4
업종별,일반음식점 외,기타 음식점업,김밥 및 기타 간이 음식점업,2021,62,38
업종별,일반음식점 외,기타 음식점업,간이 음식 포장 판매 전문점,2021,72.3,27.7
업종별,일반음식점 외,주점업,소계,2021,86.8,13.2
업종별,일반음식점 외,비알콜 음료점업,소계,2021,67.7,32.3
지역별,서울권,소계,소계,2021,64.1,35.9
지역별,수도권,소계,소계,2021,73.5,26.5
지역별,충청권,소계,소계,2021,73.2,26.8
지역별,호남권,소계,소계,2021,80.4,19.6
지역별,경남권,소계,소계,2021,76.6,23.4
지역별,경북권,소계,소계,2021,84.2,15.8
매출액규모별,5천만원 미만,소계,소계,2021,92.5,7.5
매출액규모별,5천만원~1억원 미만,소계,소계,2021,81.3,18.7
매출액규모별,1억원~5억원 미만,소계,소계,2021,67.6,32.4
매출액규모별,5억원 이상,소계,소계,2021,57.1,42.9
