특성별(1),특성별(2),시점,업종별(1),원데이터,전년 대비 증감,증감률
전체,소계,2021,한식,43.6,-0.6,-1.4
전체,소계,2021,중식,3.5,0,0
전체,소계,2021,일식,1.9,0,0
전체,소계,2021,서양식,1.9,0.1,5.6
전체,소계,2021,기타 외국식,0.7,0.1,16.7
전체,소계,2021,기관 구내식당업,1.5,-0.1,-6.3
전체,소계,2021,출장·이동음식점업,0.1,0,0
전체,소계,2021,제과점,3,0.3,11.1
전체,소계,2021,피자·햄버거·샌드위치 및 유사 음식점업,2.8,0.1,3.7
전체,소계,2021,치킨전문점,5.2,0,0
전체,소계,2021,김밥 및 기타 간이 음식점업,6.1,0,0
전체,소계,2021,간이 음식 포장 판매 전문점,1,0,0
전체,소계,2021,일반유흥주점업,4,-0.2,-4.8
전체,소계,2021,무도유흥주점업,0.3,0,0
전체,소계,2021,생맥주 전문점,1.1,0,0
전체,소계,2021,기타 주점업,10.4,-0.9,-8
전체,소계,2021,커피 전문점,10.5,1.2,12.9
전체,소계,2021,기타 비알콜 음료점업,2.4,0,0
운영형태별,프랜차이즈,2021,한식,27.1,1.7,6.7
운영형태별,프랜차이즈,2021,중식,1.5,0.1,7.1
운영형태별,프랜차이즈,2021,일식,1.8,-0.3,-14.3
운영형태별,프랜차이즈,2021,서양식,2.1,-0.4,-16
운영형태별,프랜차이즈,2021,기타 외국식,1.5,0.1,7.1
운영형태별,프랜차이즈,2021,기관 구내식당업,2.4,-0.1,-4
운영형태별,프랜차이즈,2021,출장·이동음식점업,0,,
운영형태별,프랜차이즈,2021,제과점,4.5,-0.1,-2.2
운영형태별,프랜차이즈,2021,피자·햄버거·샌드위치 및 유사 음식점업,9.4,1.1,13.3
운영형태별,프랜차이즈,2021,치킨전문점,16.2,0.7,4.5
운영형태별,프랜차이즈,2021,김밥 및 기타 간이 음식점업,8.8,0.2,2.3
운영형태별,프랜차이즈,2021,간이 음식 포장 판매 전문점,1.1,-0.4,-26.7
운영형태별,프랜차이즈,2021,일반유흥주점업,0.1,-0.3,-75
운영형태별,프랜차이즈,2021,무도유흥주점업,0,-0.1,-100
운영형태별,프랜차이즈,2021,생맥주 전문점,1.7,0.1,6.3
운영형태별,프랜차이즈,2021,기타 주점업,6.2,-3.1,-33.3
운영형태별,프랜차이즈,2021,커피 전문점,14.2,1.4,10.9
운영형태별,프랜차이즈,2021,기타 비알콜 음료점업,1.6,-0.2,-11.1
운영형태별,비프랜차이즈,2021,한식,49.5,-1.7,-3.3
운영형태별,비프랜차이즈,2021,중식,4.3,0.1,2.4
운영형태별,비프랜차이즈,2021,일식,2,0.2,11.1
운영형태별,비프랜차이즈,2021,서양식,1.8,0.3,20
운영형태별,비프랜차이즈,2021,기타 외국식,0.4,0.1,33.3
운영형태별,비프랜차이즈,2021,기관 구내식당업,1.2,-0.1,-7.7
운영형태별,비프랜차이즈,2021,출장·이동음식점업,0.1,0,0
운영형태별,비프랜차이즈,2021,제과점,2.4,0.4,20
운영형태별,비프랜차이즈,2021,피자·햄버거·샌드위치 및 유사 음식점업,0.4,-0.2,-33.3
운영형태별,비프랜차이즈,2021,치킨전문점,1.2,-0.2,-14.3
운영형태별,비프랜차이즈,2021,김밥 및 기타 간이 음식점업,5.1,-0.1,-1.9
운영형태별,비프랜차이즈,2021,간이 음식 포장 판매 전문점,1,0.1,11.1
운영형태별,비프랜차이즈,2021,일반유흥주점업,5.5,-0.1,-1.8
운영형태별,비프랜차이즈,2021,무도유흥주점업,0.4,0.1,33.3
운영형태별,비프랜차이즈,2021,생맥주 전문점,0.9,0.1,12.5
운영형태별,비프랜차이즈,2021,기타 주점업,11.9,-0.1,-0.8
운영형태별,비프랜차이즈,2021,커피 전문점,9.1,1,12.3
운영형태별,비프랜차이즈,2021,기타 비알콜 음료점업,2.7,0,0
지역별,서울권,2021,한식,31.6,-3.1,-8.9
지역별,서울권,2021,중식,2.1,-1.4,-40
지역별,서울권,2021,일식,3.1,-1.4,-31.1
지역별,서울권,2021,서양식,1.9,-1.5,-44.1
지역별,서울권,2021,기타 외국식,1.3,0.2,18.2
지역별,서울권,2021,기관 구내식당업,0.6,-0.6,-50
지역별,서울권,2021,출장·이동음식점업,0,,
지역별,서울권,2021,제과점,3.1,-0.2,-6.1
지역별,서울권,2021,피자·햄버거·샌드위치 및 유사 음식점업,3.7,0.5,15.6
지역별,서울권,2021,치킨전문점,3.8,0.5,15.2
지역별,서울권,2021,김밥 및 기타 간이 음식점업,8.8,2.8,46.7
지역별,서울권,2021,간이 음식 포장 판매 전문점,1.3,0,0
지역별,서울권,2021,일반유흥주점업,2,1.7,566.7
지역별,서울권,2021,무도유흥주점업,0.2,0,0
지역별,서울권,2021,생맥주 전문점,1.7,0.3,21.4
지역별,서울권,2021,기타 주점업,15,3.4,29.3
지역별,서울권,2021,커피 전문점,17.9,-0.2,-1.1
지역별,서울권,2021,기타 비알콜 음료점업,2,-0.8,-28.6
지역별,수도권,2021,한식,42.2,-3,-6.6
지역별,수도권,2021,중식,5.2,2.3,79.3
지역별,수도권,2021,일식,1.9,0.6,46.2
지역별,수도권,2021,서양식,1.7,0.8,88.9
지역별,수도권,2021,기타 외국식,0.4,-0.1,-20
지역별,수도권,2021,기관 구내식당업,3.5,0.6,20.7
지역별,수도권,2021,출장·이동음식점업,0,,
지역별,수도권,2021,제과점,4,0.8,25
지역별,수도권,2021,피자·햄버거·샌드위치 및 유사 음식점업,3.1,0,0
지역별,수도권,2021,치킨전문점,4.5,-0.4,-8.2
지역별,수도권,2021,김밥 및 기타 간이 음식점업,3.9,-2.4,-38.1
지역별,수도권,2021,간이 음식 포장 판매 전문점,0.9,0.1,12.5
지역별,수도권,2021,일반유흥주점업,4.2,-2,-32.3
지역별,수도권,2021,무도유흥주점업,0.2,0,0
지역별,수도권,2021,생맥주 전문점,1.2,0.3,33.3
지역별,수도권,2021,기타 주점업,13,2.3,21.5
지역별,수도권,2021,커피 전문점,8.2,-0.2,-2.4
지역별,수도권,2021,기타 비알콜 음료점업,2,0.6,42.9
지역별,충청권,2021,한식,46.7,-3.9,-7.7
지역별,충청권,2021,중식,5.2,1.4,36.8
지역별,충청권,2021,일식,1.5,0.6,66.7
지역별,충청권,2021,서양식,2.4,0.9,60
지역별,충청권,2021,기타 외국식,0,-0.2,-100
지역별,충청권,2021,기관 구내식당업,0.9,-0.2,-18.2
지역별,충청권,2021,출장·이동음식점업,0.2,,
지역별,충청권,2021,제과점,1.5,0.2,15.4
지역별,충청권,2021,피자·햄버거·샌드위치 및 유사 음식점업,2.7,0.7,35
지역별,충청권,2021,치킨전문점,10.7,4.5,72.6
지역별,충청권,2021,김밥 및 기타 간이 음식점업,3.2,-0.7,-17.9
지역별,충청권,2021,간이 음식 포장 판매 전문점,0.7,0.2,40
지역별,충청권,2021,일반유흥주점업,1.4,0.8,133.3
지역별,충청권,2021,무도유흥주점업,0.3,-0.1,-25
지역별,충청권,2021,생맥주 전문점,1.8,0.2,12.5
지역별,충청권,2021,기타 주점업,6.8,-5.9,-46.5
지역별,충청권,2021,커피 전문점,12,2,20
지역별,충청권,2021,기타 비알콜 음료점업,2,-0.8,-28.6
지역별,호남권,2021,한식,62.2,-0.2,-0.3
지역별,호남권,2021,중식,2,-2.1,-51.2
지역별,호남권,2021,일식,0.5,,
지역별,호남권,2021,서양식,0,-0.6,-100
지역별,호남권,2021,기타 외국식,0,-0.3,-100
지역별,호남권,2021,기관 구내식당업,0.2,0,0
지역별,호남권,2021,출장·이동음식점업,0,,
지역별,호남권,2021,제과점,1.6,-0.4,-20
지역별,호남권,2021,피자·햄버거·샌드위치 및 유사 음식점업,1.1,-0.8,-42.1
지역별,호남권,2021,치킨전문점,5.5,-2.5,-31.3
지역별,호남권,2021,김밥 및 기타 간이 음식점업,8,-1.8,-18.4
지역별,호남권,2021,간이 음식 포장 판매 전문점,0,-0.3,-100
지역별,호남권,2021,일반유흥주점업,11.5,11.1,2775
지역별,호남권,2021,무도유흥주점업,0.1,0,0
