특성별(1),특성별(2),특성별(3),특성별(4),시점,영업시간및일수별(1),영업시간및일수별(2),원데이터,전년 대비 증감,증감률
전체,소계,소계,소계,2021,1일 영업시간,12시간 미만 (%),67.5,7.7,12.9
전체,소계,소계,소계,2021,1일 영업시간,12시간 (%),19,-5,-20.8
전체,소계,소계,소계,2021,1일 영업시간,12시간 초과 (%),13.5,-2.7,-16.7
전체,소계,소계,소계,2021,1일 영업시간,평균 (h),10.4,-0.5,-4.6
전체,소계,소계,소계,2021,한달 영업일수,24일 이하 (%),5.2,0,0
전체,소계,소계,소계,2021,한달 영업일수,25~26일 (%),42.2,5.6,15.3
전체,소계,소계,소계,2021,한달 영업일수,27~28일 (%),14.6,-3.4,-18.9
전체,소계,소계,소계,2021,한달 영업일수,29~30일 (%),37.9,-2.3,-5.7
전체,소계,소계,소계,2021,한달 영업일수,평균 (일),27.5,-0.1,-0.4
업종별,일반음식점,소계,소계,2021,1일 영업시간,12시간 미만 (%),69.9,12.1,20.9
업종별,일반음식점,소계,소계,2021,1일 영업시간,12시간 (%),20.6,-7.2,-25.9
업종별,일반음식점,소계,소계,2021,1일 영업시간,12시간 초과 (%),9.5,-4.9,-34
업종별,일반음식점,소계,소계,2021,1일 영업시간,평균 (h),10.6,-0.5,-4.5
업종별,일반음식점,소계,소계,2021,한달 영업일수,24일 이하 (%),4.6,-0.8,-14.8
업종별,일반음식점,소계,소계,2021,한달 영업일수,25~26일 (%),46.6,4.5,10.7
업종별,일반음식점,소계,소계,2021,한달 영업일수,27~28일 (%),15.8,-2,-11.2
업종별,일반음식점,소계,소계,2021,한달 영업일수,29~30일 (%),33,-1.8,-5.2
업종별,일반음식점,소계,소계,2021,한달 영업일수,평균 (일),27.3,0,0
업종별,일반음식점,한식,소계,2021,1일 영업시간,12시간 미만 (%),68.2,12.8,23.1
업종별,일반음식점,한식,소계,2021,1일 영업시간,12시간 (%),21.4,-7.2,-25.2
업종별,일반음식점,한식,소계,2021,1일 영업시간,12시간 초과 (%),10.5,-5.4,-34
업종별,일반음식점,한식,소계,2021,1일 영업시간,평균 (h),10.6,-0.5,-4.5
업종별,일반음식점,한식,소계,2021,한달 영업일수,24일 이하 (%),4.4,-1,-18.5
업종별,일반음식점,한식,소계,2021,한달 영업일수,25~26일 (%),46.3,4,9.5
업종별,일반음식점,한식,소계,2021,한달 영업일수,27~28일 (%),15.5,-2.3,-12.9
업종별,일반음식점,한식,소계,2021,한달 영업일수,29~30일 (%),33.9,-0.6,-1.7
업종별,일반음식점,한식,소계,2021,한달 영업일수,평균 (일),27.4,0.1,0.4
업종별,일반음식점,중식,소계,2021,1일 영업시간,12시간 미만 (%),71.9,6.6,10.1
업종별,일반음식점,중식,소계,2021,1일 영업시간,12시간 (%),22.7,-5.5,-19.5
업종별,일반음식점,중식,소계,2021,1일 영업시간,12시간 초과 (%),5.4,-1.1,-16.9
업종별,일반음식점,중식,소계,2021,1일 영업시간,평균 (h),10.7,-0.2,-1.8
업종별,일반음식점,중식,소계,2021,한달 영업일수,24일 이하 (%),5,1.3,35.1
업종별,일반음식점,중식,소계,2021,한달 영업일수,25~26일 (%),48.2,13.4,38.5
업종별,일반음식점,중식,소계,2021,한달 영업일수,27~28일 (%),20.2,-6,-22.9
업종별,일반음식점,중식,소계,2021,한달 영업일수,29~30일 (%),26.7,-8.7,-24.6
업종별,일반음식점,중식,소계,2021,한달 영업일수,평균 (일),27.1,-0.6,-2.2
업종별,일반음식점,일식,소계,2021,1일 영업시간,12시간 미만 (%),86.5,10.2,13.4
업종별,일반음식점,일식,소계,2021,1일 영업시간,12시간 (%),12.2,-9.1,-42.7
업종별,일반음식점,일식,소계,2021,1일 영업시간,12시간 초과 (%),1.4,-1,-41.7
업종별,일반음식점,일식,소계,2021,1일 영업시간,평균 (h),10.2,-0.4,-3.8
업종별,일반음식점,일식,소계,2021,한달 영업일수,24일 이하 (%),3.2,-3.1,-49.2
업종별,일반음식점,일식,소계,2021,한달 영업일수,25~26일 (%),51.1,-0.7,-1.4
업종별,일반음식점,일식,소계,2021,한달 영업일수,27~28일 (%),20.3,8.3,69.2
업종별,일반음식점,일식,소계,2021,한달 영업일수,29~30일 (%),25.4,-4.5,-15.1
업종별,일반음식점,일식,소계,2021,한달 영업일수,평균 (일),27.2,0.3,1.1
업종별,일반음식점,서양식,소계,2021,1일 영업시간,12시간 미만 (%),86.1,7.7,9.8
업종별,일반음식점,서양식,소계,2021,1일 영업시간,12시간 (%),8.8,-7.8,-47
업종별,일반음식점,서양식,소계,2021,1일 영업시간,12시간 초과 (%),5.1,0.1,2
업종별,일반음식점,서양식,소계,2021,1일 영업시간,평균 (h),10.4,0,0
업종별,일반음식점,서양식,소계,2021,한달 영업일수,24일 이하 (%),8.4,1.4,20
업종별,일반음식점,서양식,소계,2021,한달 영업일수,25~26일 (%),45.9,3.9,9.3
업종별,일반음식점,서양식,소계,2021,한달 영업일수,27~28일 (%),15.5,5.8,59.8
업종별,일반음식점,서양식,소계,2021,한달 영업일수,29~30일 (%),30.2,-11,-26.7
업종별,일반음식점,서양식,소계,2021,한달 영업일수,평균 (일),27.1,0,0
업종별,일반음식점,기타 외국식,소계,2021,1일 영업시간,12시간 미만 (%),79.7,12.2,18.1
업종별,일반음식점,기타 외국식,소계,2021,1일 영업시간,12시간 (%),20.3,-2.5,-11
업종별,일반음식점,기타 외국식,소계,2021,1일 영업시간,12시간 초과 (%),0,-9.7,-100
업종별,일반음식점,기타 외국식,소계,2021,1일 영업시간,평균 (h),10.4,-0.7,-6.3
업종별,일반음식점,기타 외국식,소계,2021,한달 영업일수,24일 이하 (%),9.4,4.9,108.9
업종별,일반음식점,기타 외국식,소계,2021,한달 영업일수,25~26일 (%),48.7,13.2,37.2
업종별,일반음식점,기타 외국식,소계,2021,한달 영업일수,27~28일 (%),0,-13.2,-100
업종별,일반음식점,기타 외국식,소계,2021,한달 영업일수,29~30일 (%),41.9,-4.8,-10.3
업종별,일반음식점,기타 외국식,소계,2021,한달 영업일수,평균 (일),27.2,-0.5,-1.8
업종별,일반음식점 외,소계,소계,2021,1일 영업시간,12시간 미만 (%),65,3,4.8
업종별,일반음식점 외,소계,소계,2021,1일 영업시간,12시간 (%),17.2,-2.7,-13.6
업종별,일반음식점 외,소계,소계,2021,1일 영업시간,12시간 초과 (%),17.8,-0.3,-1.7
업종별,일반음식점 외,소계,소계,2021,1일 영업시간,평균 (h),10.2,-0.5,-4.7
업종별,일반음식점 외,소계,소계,2021,한달 영업일수,24일 이하 (%),6,1,20
업종별,일반음식점 외,소계,소계,2021,한달 영업일수,25~26일 (%),37.6,7,22.9
업종별,일반음식점 외,소계,소계,2021,한달 영업일수,27~28일 (%),13.4,-4.8,-26.4
업종별,일반음식점 외,소계,소계,2021,한달 영업일수,29~30일 (%),43.1,-3,-6.5
업종별,일반음식점 외,소계,소계,2021,한달 영업일수,평균 (일),27.6,-0.2,-0.7
업종별,일반음식점 외,기관 구내식당업,소계,2021,1일 영업시간,12시간 미만 (%),74,8.9,13.7
업종별,일반음식점 외,기관 구내식당업,소계,2021,1일 영업시간,12시간 (%),14.8,-7.9,-34.8
업종별,일반음식점 외,기관 구내식당업,소계,2021,1일 영업시간,12시간 초과 (%),11.2,-1,-8.2
